task,condition,reward,rank,feature_index,mean_activation,std_activation,nonzero_count,n_response_units,feature_label
ultimatum_response,dose_altruism_03,10,1,60228,5.96875,0.0,40,40,"artificial intelligence, such as, due to"
ultimatum_response,dose_altruism_03,10,2,40158,4.65625,0.0,40,40,low X
ultimatum_response,dose_altruism_03,10,3,26699,4.34375,0.0,40,40,making a choice
ultimatum_response,dose_altruism_03,10,4,58448,4.21875,0.0,40,40,such a
ultimatum_response,dose_altruism_03,10,5,58909,4.0625,0.0,40,40,fair and
ultimatum_response,dose_altruism_03,10,6,20797,4.03125,0.0,40,40,expressing apparent states or perceptions
ultimatum_response,dose_altruism_03,10,7,5546,3.904296875,0.5682022978819781,40,40,fair distribution
ultimatum_response,dose_altruism_03,10,8,29461,3.88515625,0.10617816965335672,40,40,better financial offers
ultimatum_response,dose_altruism_03,10,9,24356,3.703125,0.0,40,40,explaining a reason
ultimatum_response,dose_altruism_03,10,10,50689,3.7015625,0.031210913055364185,40,40,maximum limit payoff
ultimatum_response,dose_altruism_03,15,1,60228,6.03125,0.0,40,40,"artificial intelligence, such as, due to"
ultimatum_response,dose_altruism_03,15,2,40158,4.5859375,0.12178482240718669,40,40,low X
ultimatum_response,dose_altruism_03,15,3,26699,4.34375,0.0,40,40,making a choice
ultimatum_response,dose_altruism_03,15,4,20797,4.0625,0.0,40,40,expressing apparent states or perceptions
ultimatum_response,dose_altruism_03,15,5,29461,4.050390625,0.22359280823962746,40,40,better financial offers
ultimatum_response,dose_altruism_03,15,6,58909,4.03125,0.0,40,40,fair and
ultimatum_response,dose_altruism_03,15,7,24356,3.765625,0.0,40,40,explaining a reason
ultimatum_response,dose_altruism_03,15,8,5546,3.745703125,0.2553621122046312,40,40,fair distribution
ultimatum_response,dose_altruism_03,15,9,22551,3.5484375,0.15799030824706078,40,40,game theory variations
ultimatum_response,dose_altruism_03,15,10,50689,3.5078125,0.1488481162754504,40,40,maximum limit payoff
ultimatum_response,dose_altruism_03,20,1,11391,6.40625,0.0,40,40,if ... were statements
ultimatum_response,dose_altruism_03,20,2,60228,6.03125,0.0,40,40,"artificial intelligence, such as, due to"
ultimatum_response,dose_altruism_03,20,3,26699,4.625,0.0,40,40,making a choice
ultimatum_response,dose_altruism_03,20,4,50689,4.5625,0.0,40,40,maximum limit payoff
ultimatum_response,dose_altruism_03,20,5,19310,4.25,0.0,40,40,rejected or denied
ultimatum_response,dose_altruism_03,20,6,29461,3.953125,0.0,40,40,better financial offers
ultimatum_response,dose_altruism_03,20,7,45326,3.921875,0.0,40,40,equal opportunity and representation
ultimatum_response,dose_altruism_03,20,8,36182,3.921875,0.0,40,40,linking words after punctuation
ultimatum_response,dose_altruism_03,20,9,5546,3.796875,0.0,40,40,fair distribution
ultimatum_response,dose_altruism_03,20,10,238,3.765625,0.0,40,40,accept and its forms
ultimatum_response,dose_altruism_03,25,1,11391,6.375,0.0,40,40,if ... were statements
ultimatum_response,dose_altruism_03,25,2,60228,5.96875,0.0,40,40,"artificial intelligence, such as, due to"
ultimatum_response,dose_altruism_03,25,3,26699,4.625,0.0,40,40,making a choice
ultimatum_response,dose_altruism_03,25,4,50689,4.53125,0.0,40,40,maximum limit payoff
ultimatum_response,dose_altruism_03,25,5,19310,4.28125,0.0,40,40,rejected or denied
ultimatum_response,dose_altruism_03,25,6,29461,3.9375,0.0,40,40,better financial offers
ultimatum_response,dose_altruism_03,25,7,36182,3.9375,0.0,40,40,linking words after punctuation
ultimatum_response,dose_altruism_03,25,8,45326,3.875,0.0,40,40,equal opportunity and representation
ultimatum_response,dose_altruism_03,25,9,24356,3.8125,0.0,40,40,explaining a reason
ultimatum_response,dose_altruism_03,25,10,238,3.796875,0.0,40,40,accept and its forms
ultimatum_response,dose_altruism_03,30,1,11391,6.375,0.0,40,40,if ... were statements
ultimatum_response,dose_altruism_03,30,2,60228,6.03125,0.0,40,40,"artificial intelligence, such as, due to"
ultimatum_response,dose_altruism_03,30,3,26699,4.625,0.0,40,40,making a choice
ultimatum_response,dose_altruism_03,30,4,50689,4.5625,0.0,40,40,maximum limit payoff
ultimatum_response,dose_altruism_03,30,5,19310,4.28125,0.0,40,40,rejected or denied
ultimatum_response,dose_altruism_03,30,6,29461,3.953125,0.0,40,40,better financial offers
ultimatum_response,dose_altruism_03,30,7,36182,3.9375,0.0,40,40,linking words after punctuation
ultimatum_response,dose_altruism_03,30,8,45326,3.875,0.0,40,40,equal opportunity and representation
ultimatum_response,dose_altruism_03,30,9,24356,3.8125,0.0,40,40,explaining a reason
ultimatum_response,dose_altruism_03,30,10,238,3.796875,0.0,40,40,accept and its forms
ultimatum_response,dose_altruism_03,35,1,11391,6.375,0.0,40,40,if ... were statements
ultimatum_response,dose_altruism_03,35,2,60228,5.625,0.0,40,40,"artificial intelligence, such as, due to"
ultimatum_response,dose_altruism_03,35,3,26699,4.625,0.0,40,40,making a choice
ultimatum_response,dose_altruism_03,35,4,28802,4.5984375,0.3609375000000002,40,40,contrast conjunctions like while or although
ultimatum_response,dose_altruism_03,35,5,50689,4.59375,0.0,40,40,maximum limit payoff
ultimatum_response,dose_altruism_03,35,6,19310,4.25,0.0,40,40,rejected or denied
ultimatum_response,dose_altruism_03,35,7,53638,4.134375,1.3781249999999978,36,40,total quantities
ultimatum_response,dose_altruism_03,35,8,20484,4.08046875,1.3608269454952524,36,40,providing...with
ultimatum_response,dose_altruism_03,35,9,29461,3.984375,0.0,40,40,better financial offers
ultimatum_response,dose_altruism_03,35,10,36182,3.984375,0.0,40,40,linking words after punctuation
ultimatum_response,dose_altruism_03,40,1,11391,6.375,0.0,40,40,if ... were statements
ultimatum_response,dose_altruism_03,40,2,60228,6.03125,0.0,40,40,"artificial intelligence, such as, due to"
ultimatum_response,dose_altruism_03,40,3,26699,4.625,0.0,40,40,making a choice
ultimatum_response,dose_altruism_03,40,4,2291,4.62021484375,3.285687073630436,40,40,rather than
ultimatum_response,dose_altruism_03,40,5,50689,4.59375,0.0,40,40,maximum limit payoff
ultimatum_response,dose_altruism_03,40,6,19310,4.25,0.0,40,40,rejected or denied
ultimatum_response,dose_altruism_03,40,7,28802,4.19296875,0.588759350874518,40,40,contrast conjunctions like while or although
ultimatum_response,dose_altruism_03,40,8,36182,3.96875,0.0,40,40,linking words after punctuation
ultimatum_response,dose_altruism_03,40,9,29461,3.953125,0.0,40,40,better financial offers
ultimatum_response,dose_altruism_03,40,10,42888,3.940625,2.8916282042951167,26,40,rational and logical reasoning
ultimatum_response,dose_altruism_03,45,1,60228,8.62578125,0.8395871701085887,40,40,"artificial intelligence, such as, due to"
