condition,offer,accept_count,reject_count,other_count,comment_nonempty_count,total_responses,accept_percentage,reject_percentage,other_percentage,comment_nonempty_percentage
dose_altruism_03,10,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_altruism_03,15,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_altruism_03,20,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_altruism_03,25,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_altruism_03,30,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_altruism_03,35,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_altruism_03,40,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_altruism_03,45,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_altruism_03,50,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_altruism_03,55,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_altruism_03,60,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_altruism_03,65,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_altruism_03,70,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_altruism_03,75,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_altruism_03,80,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_altruism_03,85,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_altruism_03,90,40,0,0,40,40,100.0,0.0,0.0,100.0
