condition,reward,safe_count,risky_count,other_count,comment_nonempty_count,total_responses,safe_percentage,risky_percentage,other_percentage,comment_nonempty_percentage
dose_risk_05_03,10,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_risk_05_03,15,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_risk_05_03,20,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_risk_05_03,25,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_risk_05_03,30,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_risk_05_03,35,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_risk_05_03,40,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_risk_05_03,45,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_risk_05_03,50,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_risk_05_03,55,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_risk_05_03,60,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_05_03,65,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_05_03,70,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_05_03,75,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_05_03,80,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_05_03,85,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_05_03,90,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_05_03,95,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_05_03,100,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_05_03,105,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_05_03,110,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_05_03,115,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_05_03,120,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_05_03,125,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_05_03,130,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_05_03,135,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_05_03,140,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_05_03,145,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_05_03,150,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_05_03,155,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_05_03,160,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_05_03,165,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_05_03,170,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_05_03,175,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_05_03,180,0,40,0,40,40,0.0,100.0,0.0,100.0
