task,condition,feature_index,mean_activation,std_activation,nonzero_count,n_response_units,feature_label,reward
ultimatum_response,dose_altruism_01,26699,4.586397058823529,0.0893768072143202,680,680,making a choice,
ultimatum_response,dose_altruism_01,60228,4.351056985294117,2.2705507344524034,598,680,"artificial intelligence, such as, due to",
ultimatum_response,dose_altruism_01,50689,4.347863051470588,0.3716290551257644,680,680,maximum limit payoff,
ultimatum_response,dose_altruism_01,29461,3.9733685661764704,0.12430237711263036,680,680,better financial offers,
ultimatum_response,dose_altruism_01,24356,3.880376838235294,0.08710659590369163,680,680,explaining a reason,
ultimatum_response,dose_altruism_01,19310,3.821001838235294,0.49593529503598727,680,680,rejected or denied,
ultimatum_response,dose_altruism_01,238,3.738189338235294,0.42509260979672403,680,680,accept and its forms,
ultimatum_response,dose_altruism_01,36182,3.5224494485294118,1.2866894490778498,600,680,linking words after punctuation,
ultimatum_response,dose_altruism_01,10313,3.483846507352941,0.16675855292612293,680,680,"refusal, rejection, denied",
ultimatum_response,dose_altruism_01,28802,3.2135110294117646,0.7608649185505447,680,680,contrast conjunctions like while or although,
ultimatum_response,dose_altruism_01,5546,3.145657169117647,0.595642804961242,680,680,fair distribution,
ultimatum_response,dose_altruism_01,28895,3.0404411764705883,0.1004154432628459,680,680,explanation or reason,
ultimatum_response,dose_altruism_01,1617,2.9816636029411763,1.1009720080367174,599,680,detecting still,
ultimatum_response,dose_altruism_01,13951,2.9162741268382355,0.630535093215692,680,680,sum of products for game outcomes,
ultimatum_response,dose_altruism_01,17286,2.9083869485294116,0.33971894940685154,680,680,accepting invitations and meals,
ultimatum_response,dose_altruism_01,21112,2.853860294117647,0.11021749789647696,680,680,deciding to act,
ultimatum_response,dose_altruism_01,50372,2.845978860294118,0.1867816770686852,680,680,numbers in arithmetic expressions,
ultimatum_response,dose_altruism_01,18259,2.827823414522059,1.0725538393234126,626,680,"comparisons with ""than""",
ultimatum_response,dose_altruism_01,16735,2.8244485294117645,0.014705882352984227,680,680,lines following new lines,
ultimatum_response,dose_altruism_01,22111,2.765579044117647,1.025987154758757,600,680,receive messages or notifications,
ultimatum_response,dose_altruism_01,45326,2.6785569583668427,1.6878411184301134,573,680,equal opportunity and representation,
