condition,offer,accept_count,reject_count,other_count,comment_nonempty_count,total_responses,accept_percentage,reject_percentage,other_percentage,comment_nonempty_percentage
dose_altruism_02,10,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_altruism_02,15,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_altruism_02,20,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_altruism_02,25,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_altruism_02,30,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_altruism_02,35,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_altruism_02,40,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_altruism_02,45,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_altruism_02,50,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_altruism_02,55,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_altruism_02,60,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_altruism_02,65,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_altruism_02,70,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_altruism_02,75,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_altruism_02,80,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_altruism_02,85,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_altruism_02,90,40,0,0,40,40,100.0,0.0,0.0,100.0
